run_id	run_name	state	sweep_name	sweep_id	model.name	dataset.name	model.n_jobs	training.seed	model.max_depth	model.reg_alpha	model.subsample	dataset.cell_line	model.eval_metric	model.n_estimators	training.criterion	model.learning_rate	training.batch_size	training.wandb.track	dataset.target_fields	training.wandb.entity	dataset.min_read_count	training.profile.plots	training.wandb.project	model.enable_categorical	training.profile.metrics	training.wandb.save_code	dataset.three_exon_combos	training.wandb.save_model	training.wandb.save_plots	training.data_split.method	model.early_stopping_rounds	training.data_split.test_set	training.data_split.train_set	training.wandb.save_artifacts	training.data_split.validate_set	dataset.features.binding_matrix.window	dataset.features.binding_matrix.exp_log	dataset.features.binding_matrix.flatten	dataset.features.binding_matrix.exp_norm	dataset.features.binding_matrix.binding_format	runtime.avg_nodes_per_tree	test_loss	test_mean_absolute_error	test_r2_score	test_rmse	train_loss	train_mean_absolute_error	train_r2_score	train_rmse	val_loss	val_mean_absolute_error	val_r2_score	val_rmse
rj6p2to3	apricot-sweep-33	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	40	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	rbp_exp	83.40506329113924	6.221e-05	0.2161	0.2105	0.308	2.168e-05	0.1904	0.2836	0.2782	7.774e-05	0.2056	0.2086	0.2959
u837rvfk	bumbling-sweep-28	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	80	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	1000	True	False	getmm	binary	80.29838709677419	7.403e-05	0.2051	0.178	0.3042	2.624e-05	0.1839	0.2189	0.2788	8.922e-05	0.1957	0.1696	0.2914
8y3l5arj	deft-sweep-37	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	0	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	rbp_exp	91.17164179104478	5.347e-05	0.2578	0.1752	0.3328	2.042e-05	0.2378	0.2085	0.3129	6.77e-05	0.2498	0.1649	0.3239
mato298p	still-sweep-35	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	160	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	rbp_exp	78.17293233082707	0.0001009	0.1799	0.2145	0.2863	3.253e-05	0.1541	0.2897	0.2528	0.0001176	0.1694	0.2064	0.2726
opct99iv	likely-sweep-36	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	320	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	rbp_exp	71.05925925925926	0.0001642	0.1633	0.2221	0.276	4.522e-05	0.1293	0.3686	0.2279	0.000178	0.1507	0.2192	0.2583
6zbhzaz2	genial-sweep-39	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	40	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	rbp_exp	82.40131578947368	6.163e-05	0.2176	0.2066	0.3089	2.172e-05	0.1927	0.2731	0.2806	7.663e-05	0.2074	0.2019	0.2971
pjvks9xr	honest-sweep-40	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	80	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	rbp_exp	82.31111111111112	7.334e-05	0.2004	0.2018	0.299	2.544e-05	0.1771	0.2627	0.2711	8.938e-05	0.1908	0.1958	0.2871
sz07vj0l	icy-sweep-38	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	20	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	rbp_exp	83.52027027027027	5.71e-05	0.2314	0.1998	0.3172	2.072e-05	0.2079	0.2528	0.2916	7.124e-05	0.2215	0.192	0.3058
l50t8htd	rare-sweep-41	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	160	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	rbp_exp	79.82119205298014	9.718e-05	0.1767	0.2365	0.2825	2.961e-05	0.1465	0.3477	0.2423	0.0001117	0.166	0.2339	0.2676
49q6ao0r	gallant-sweep-46	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	80	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	250	True	False	getmm	rbp_exp	84.19117647058823	7.279e-05	0.2007	0.2019	0.2996	2.498e-05	0.1764	0.2661	0.2702	8.827e-05	0.1907	0.1969	0.2871
bvd6nzhv	generous-sweep-48	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	320	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	250	True	False	getmm	rbp_exp	75.2015503875969	0.0001658	0.1655	0.2123	0.2789	4.623e-05	0.132	0.3476	0.2315	0.0001739	0.1502	0.2228	0.2571
ddtqb86c	elated-sweep-44	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	20	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	250	True	False	getmm	rbp_exp	87.42	5.66e-05	0.2325	0.1967	0.3185	2.022e-05	0.2073	0.258	0.2905	7.015e-05	0.2226	0.1905	0.3067
fcghf3e2	golden-sweep-42	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	320	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	rbp_exp	75.944	0.0001674	0.1665	0.2016	0.2796	4.794e-05	0.1351	0.3266	0.2353	0.0001796	0.1529	0.2031	0.2606
hhhb46r1	firm-sweep-47	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	160	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	250	True	False	getmm	rbp_exp	83.25409836065573	0.0001026	0.1846	0.1919	0.2912	3.389e-05	0.1601	0.2466	0.2601	0.000118	0.1734	0.1848	0.276
inh8yxq7	sunny-sweep-43	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	0	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	250	True	False	getmm	rbp_exp	95.08064516129032	5.351e-05	0.2624	0.1613	0.3366	2.062e-05	0.2436	0.1852	0.3177	6.744e-05	0.2548	0.1513	0.3277
nka67vdq	good-sweep-45	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	40	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	250	True	False	getmm	rbp_exp	86.01492537313433	6.248e-05	0.2218	0.1872	0.3133	2.252e-05	0.199	0.2339	0.2878	7.733e-05	0.2119	0.1824	0.3012
rqh881qo	jumping-sweep-50	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	20	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	500	True	False	getmm	rbp_exp	89.11278195488721	5.718e-05	0.2367	0.1819	0.3221	2.101e-05	0.2144	0.2227	0.2978	7.021e-05	0.2265	0.1738	0.3092
sg4mr0tz	trim-sweep-49	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	0	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	500	True	False	getmm	rbp_exp	92.66891891891892	5.163e-05	0.2579	0.1813	0.3332	1.942e-05	0.2362	0.2243	0.3108	6.426e-05	0.2495	0.1731	0.3229
9iz4c65b	snowy-sweep-51	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	40	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	500	True	False	getmm	rbp_exp	87.05970149253731	6.221e-05	0.2226	0.1859	0.3143	2.238e-05	0.1996	0.2331	0.2882	7.616e-05	0.212	0.1812	0.3008
a3n0yk5y	polished-sweep-52	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	80	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	500	True	False	getmm	rbp_exp	81.61805555555556	7.185e-05	0.1996	0.2074	0.2987	2.437e-05	0.1744	0.2799	0.2677	8.616e-05	0.1891	0.2072	0.2849
gd5nia0b	golden-sweep-53	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	160	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	500	True	False	getmm	rbp_exp	81.94573643410853	0.0001004	0.1818	0.2051	0.2888	3.236e-05	0.1557	0.2775	0.2547	0.0001157	0.1712	0.1968	0.274
ocukvpob	giddy-sweep-58	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	80	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	1000	True	False	getmm	rbp_exp	83.89795918367346	7.135e-05	0.1993	0.2078	0.2986	2.388e-05	0.1732	0.2892	0.266	8.538e-05	0.1893	0.2053	0.2851
owu1rg6u	dazzling-sweep-56	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	20	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	1000	True	False	getmm	rbp_exp	88.36054421768708	5.568e-05	0.2343	0.1918	0.32	2.006e-05	0.2099	0.2492	0.2927	6.82e-05	0.2245	0.1842	0.3076
uicxlcue	misunderstood-sweep-54	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	320	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	500	True	False	getmm	rbp_exp	75.97520661157024	0.0001689	0.1679	0.1968	0.2817	4.917e-05	0.1377	0.3053	0.2389	0.0001798	0.1548	0.1957	0.2617
vz5540g1	sweet-sweep-57	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	40	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	1000	True	False	getmm	rbp_exp	85.80882352941177	6.164e-05	0.2227	0.1845	0.3144	2.206e-05	0.1992	0.2366	0.2876	7.514e-05	0.2126	0.1804	0.3009
y2rdp1w9	neat-sweep-55	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	0	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	1000	True	False	getmm	rbp_exp	95.7734375	5.201e-05	0.2636	0.1601	0.3374	2.006e-05	0.2447	0.1879	0.3184	6.478e-05	0.2562	0.15	0.3281
1twvvv9g	solar-sweep-62	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	HepG2	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	20	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	binary	77.71034482758621	6.239e-05	0.2288	0.2413	0.314	3.307e-05	0.2208	0.2656	0.3015	8.995e-05	0.2232	0.2182	0.306
5oomd2zm	deft-sweep-68	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	HepG2	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	20	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	binary	77.68115942028986	6.221e-05	0.2307	0.2358	0.3153	3.326e-05	0.2243	0.2526	0.3045	8.881e-05	0.2246	0.2149	0.3067
8lbm3828	easy-sweep-61	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	HepG2	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	0	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	binary	77.09210526315789	5.623e-05	0.2516	0.2304	0.3266	3.039e-05	0.2477	0.2497	0.3193	8.153e-05	0.2464	0.2102	0.3192
cz1x6lqn	summer-sweep-66	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	HepG2	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	320	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	50	True	False	getmm	binary	64.26923076923077	0.0001864	0.1598	0.2942	0.2665	9.953e-05	0.1401	0.3935	0.2363	0.0002597	0.15	0.2425	0.2522
d89zk6wf	devoted-sweep-67	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	HepG2	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	0	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	100	True	False	getmm	binary	78.76923076923077	5.59e-05	0.2536	0.2259	0.3281	3.039e-05	0.251	0.2391	0.322	8.079e-05	0.2485	0.2037	0.3211
dcr50fvb	scarlet-sweep-60	finished	ayans_model_params_yogi_dataset_sweep	11gitmno	XGBRegressor	RBPSEDataset	-1	42	7	0.3	1	K562	['rmse', 'logloss']	20000	mean_squared_error	0.1	1024	True	['target_psi']	platiglab	320	[]	yogi-dataset-sweep-feb-2025	False	['r2_score', 'mean_absolute_error', 'rmse']	False	all	False	False	set_defs	100	['chr2', 'chr8', 'chr12', 'chr16', 'chr20']	['chr1', 'chr3', 'chr5', 'chr7', 'chr9', 'chr11', 'chr13', 'chr15', 'chr17', 'chr19', 'chr21']	False	['chr4', 'chr6', 'chr10', 'chr14', 'chr18', 'chr22']	1000	True	False	getmm	rbp_exp	75.85714285714286	0.0001702	0.1688	0.1897	0.2832	4.983e-05	0.1393	0.2946	0.2408	0.000182	0.156	0.1827	0.2637
